comparacoesAVL	tamanhoAVL	comparacoesABB	tamanhoABB
13	1359	13	1359
16	41289	25	41289
17	48846	21	48846
16	9272	18	9272
16	50947	11	50947
14	9690	18	9690
13	50730	19	50730
16	11498	19	11498
18	42996	19	42996
16	51122	24	51122
16	49671	21	49671
16	40180	16	40180
16	57770	27	57770
13	14385	20	14385
17	39492	20	39492
12	481	15	481
16	20952	21	20952
17	25329	25	25329
16	19592	18	19592
17	48373	26	48373
12	13891	24	13891
18	48374	25	48374
12	34667	22	34667
16	41291	25	41291
16	29173	18	29173
16	45797	28	45797
16	56779	24	56779
15	20044	23	20044
18	58691	18	58691
14	27330	17	27330
17	52376	20	52376
17	36401	26	36401
14	44971	27	44971
13	17573	20	17573
16	22024	22	22024
16	12269	28	12269
16	27262	15	27262
16	12754	15	12754
8	118	7	118
17	46610	26	46610
16	40227	24	40227
16	49789	23	49789
16	26789	22	26789
14	37996	18	37996
12	4173	12	4173
16	42633	19	42633
17	14829	23	14829
16	1476	15	1476
15	44313	30	44313
15	34420	24	34420
14	49849	16	49849
18	58203	25	58203
18	59145	23	59145
11	867	9	867
14	15845	13	15845
16	4669	14	4669
16	46663	24	46663
16	48975	21	48975
16	24712	21	24712
15	21705	23	21705
15	16305	23	16305
17	53440	24	53440
16	58106	21	58106
13	1275	13	1275
16	11012	16	11012
12	20129	23	20129
16	49895	21	49895
15	38274	23	38274
13	9234	18	9234
17	50012	19	50012
15	24883	24	24883
16	49460	25	49460
16	39800	23	39800
14	28023	25	28023
12	3808	19	3808
15	20325	18	20325
17	47007	20	47007
12	18636	13	18636
15	21800	21	21800
14	7671	20	7671
15	29407	25	29407
17	48000	21	48000
12	5873	19	5873
15	4904	14	4904
18	48867	20	48867
17	58070	25	58070
14	9572	20	9572
17	35529	26	35529
17	47044	24	47044
15	10636	22	10636
16	57234	25	57234
17	39700	17	39700
13	4075	16	4075
14	31691	25	31691
14	40974	15	40974
17	51438	28	51438
13	51819	25	51819
15	7220	12	7220
15	6063	15	6063
15	37405	25	37405
16	57232	19	57232
12	7297	16	7297
15	26864	23	26864
14	37031	22	37031
15	11672	20	11672
15	7023	20	7023
15	57355	29	57355
15	58678	21	58678
18	25658	25	25658
16	55507	30	55507
14	6349	20	6349
15	31417	19	31417
15	19858	19	19858
15	48573	18	48573
14	36320	17	36320
17	8724	21	8724
17	22994	19	22994
16	45891	30	45891
14	20605	25	20605
13	10038	18	10038
16	32878	18	32878
17	54190	17	54190
13	36952	24	36952
15	25880	15	25880
15	7063	12	7063
13	4742	23	4742
16	54050	24	54050
14	14282	18	14282
14	10804	25	10804
15	31454	19	31454
15	47865	17	47865
15	18101	23	18101
16	34670	21	34670
12	1248	17	1248
16	29772	24	29772
17	41692	17	41692
15	34954	16	34954
17	4801	21	4801
14	43702	25	43702
15	30460	21	30460
17	47501	24	47501
12	15118	19	15118
16	50318	24	50318
14	12426	22	12426
14	35393	29	35393
16	35419	23	35419
16	50031	23	50031
17	55997	18	55997
14	21808	23	21808
17	22909	14	22909
16	26538	17	26538
16	11545	22	11545
16	36212	24	36212
17	52417	27	52417
16	54959	24	54959
16	40953	24	40953
16	46467	21	46467
16	45592	17	45592
16	51757	20	51757
17	54272	26	54272
15	33457	19	33457
15	46209	17	46209
17	28941	17	28941
16	34704	20	34704
12	15980	24	15980
17	46985	18	46985
16	46009	22	46009
16	57132	20	57132
17	7038	23	7038
15	16469	22	16469
17	44633	18	44633
16	58507	26	58507
15	43138	24	43138
17	57058	22	57058
16	26295	16	26295
13	18530	18	18530
12	8828	19	8828
16	16325	20	16325
17	50879	23	50879
17	30636	17	30636
15	15585	19	15585
16	17416	21	17416
14	18532	16	18532
17	51797	22	51797
15	46185	19	46185
17	49842	24	49842
17	32749	24	32749
16	32651	27	32651
16	11785	12	11785
10	857	16	857
17	3274	16	3274
18	45241	17	45241
18	47065	18	47065
15	8567	19	8567
17	56296	20	56296
17	39396	24	39396
17	55551	20	55551
17	42305	32	42305
15	12880	27	12880
15	38940	12	38940
15	35125	22	35125
18	57512	21	57512
16	37446	16	37446
17	18262	16	18262
15	30921	31	30921
18	40092	20	40092
13	13143	18	13143
14	16100	21	16100
13	32768	30	32768
16	40373	21	40373
17	46735	23	46735
15	48353	25	48353
15	57789	28	57789
16	41618	29	41618
12	16501	25	16501
16	43973	16	43973
13	7811	15	7811
15	25601	16	25601
16	52975	20	52975
16	19596	25	19596
16	26458	24	26458
17	56248	21	56248
15	4836	19	4836
16	49874	28	49874
15	41166	17	41166
16	37484	15	37484
18	5622	21	5622
15	36716	26	36716
16	56140	19	56140
14	18501	22	18501
17	52007	25	52007
13	7616	19	7616
16	52364	19	52364
14	29452	17	29452
15	2229	12	2229
15	23284	20	23284
15	9543	18	9543
17	15371	11	15371
16	39383	26	39383
13	18663	23	18663
14	32096	25	32096
10	2470	15	2470
17	7015	16	7015
15	29884	19	29884
16	20439	18	20439
15	23515	24	23515
15	50208	21	50208
16	28250	17	28250
15	49115	27	49115
16	43182	23	43182
16	47845	18	47845
17	51924	28	51924
14	15781	22	15781
16	29032	14	29032
15	18150	18	18150
17	56947	25	56947
16	42867	27	42867
14	23771	22	23771
17	10014	21	10014
16	15358	23	15358
14	42271	23	42271
12	2021	18	2021
17	22973	19	22973
18	34634	23	34634
13	7824	19	7824
13	1553	16	1553
16	34269	28	34269
15	17367	9	17367
17	53276	28	53276
15	50003	25	50003
16	36029	17	36029
11	25371	24	25371
15	28824	27	28824
14	19395	25	19395
18	55254	18	55254
16	49263	27	49263
14	19261	16	19261
14	45461	25	45461
16	53864	34	53864
17	44727	29	44727
15	4994	15	4994
17	18060	21	18060
17	36651	18	36651
16	20774	19	20774
16	47091	21	47091
17	54800	28	54800
18	54072	28	54072
13	6310	17	6310
14	54922	32	54922
12	4086	12	4086
15	21667	25	21667
14	37192	21	37192
14	6106	20	6106
15	20992	16	20992
16	48177	24	48177
17	50281	23	50281
14	22544	17	22544
17	58797	24	58797
17	7647	23	7647
14	15819	21	15819
17	48799	26	48799
16	20027	12	20027
18	41189	24	41189
15	17623	18	17623
15	15773	16	15773
13	12794	12	12794
17	43237	29	43237
15	35033	22	35033
15	34606	23	34606
13	13452	14	13452
15	56112	26	56112
15	39599	18	39599
11	31511	17	31511
18	32762	27	32762
16	36725	15	36725
17	54953	20	54953
11	3913	19	3913
13	30796	24	30796
15	1262	17	1262
16	58834	22	58834
15	11233	17	11233
18	59281	27	59281
15	12377	22	12377
17	53690	24	53690
15	56624	21	56624
12	553	13	553
15	43971	23	43971
16	55519	26	55519
16	59349	23	59349
15	27969	19	27969
16	47690	25	47690
15	24499	25	24499
16	24348	25	24348
12	5230	20	5230
17	18473	21	18473
16	40120	18	40120
17	18024	23	18024
11	1709	12	1709
16	51505	27	51505
16	28981	23	28981
14	15160	15	15160
14	47616	24	47616
16	44932	18	44932
15	23022	22	23022
17	56729	29	56729
15	21656	22	21656
13	17975	18	17975
15	36993	19	36993
16	28803	20	28803
17	55588	24	55588
17	12178	22	12178
16	40036	25	40036
13	31220	25	31220
15	24554	25	24554
15	10077	21	10077
15	27843	16	27843
15	1458	9	1458
14	54047	30	54047
16	59714	27	59714
16	37158	25	37158
18	58368	25	58368
17	47403	22	47403
14	1656	14	1656
16	22715	21	22715
17	52632	20	52632
16	39186	23	39186
17	58189	27	58189
17	30690	21	30690
15	15988	21	15988
17	49701	19	49701
18	54657	23	54657
12	919	15	919
15	12722	15	12722
15	27737	19	27737
18	58926	17	58926
16	7048	21	7048
12	41081	14	41081
16	27728	16	27728
14	2636	16	2636
17	53258	19	53258
16	44115	16	44115
12	10207	15	10207
17	17811	23	17811
17	30544	25	30544
15	38050	14	38050
16	55620	16	55620
16	24590	24	24590
15	14115	24	14115
16	32777	27	32777
17	59309	15	59309
13	1517	14	1517
14	34433	22	34433
17	22023	17	22023
15	54148	25	54148
14	30913	21	30913
12	1209	13	1209
15	41155	20	41155
15	5453	14	5453
12	8250	16	8250
16	33494	22	33494
14	31505	20	31505
15	39259	20	39259
