comparacoesAVL	tamanhoAVL	comparacoesABB	tamanhoABB
12	790	12	790
12	7441	18	7441
13	3455	22	3455
13	7186	17	7186
13	3746	17	3746
14	6497	24	6497
14	6334	19	6334
11	3897	18	3897
14	6053	17	6053
15	8490	17	8490
13	5294	24	5294
13	6128	14	6128
14	5266	24	5266
13	6876	17	6876
13	2049	9	2049
12	660	19	660
13	6854	16	6854
14	7612	24	7612
14	9033	17	9033
11	5051	15	5051
12	4532	10	4532
15	8417	17	8417
13	8789	18	8789
12	2611	19	2611
14	9241	19	9241
12	4083	18	4083
12	4522	12	4522
13	3487	16	3487
12	1561	10	1561
9	1664	11	1664
14	7279	16	7279
13	1367	14	1367
12	5201	9	5201
14	5086	11	5086
14	5113	16	5113
12	1697	15	1697
12	1420	15	1420
11	5361	19	5361
13	4101	18	4101
14	9740	17	9740
10	3850	15	3850
13	9395	13	9395
13	2219	14	2219
13	5467	17	5467
13	2622	11	2622
13	4267	21	4267
12	6126	15	6126
14	5827	16	5827
14	8231	23	8231
14	5159	26	5159
10	877	10	877
14	9114	18	9114
14	9927	20	9927
15	6018	18	6018
10	1725	14	1725
13	9167	14	9167
9	100	11	100
12	2598	10	2598
13	2653	13	2653
14	8012	18	8012
14	4261	21	4261
15	9931	21	9931
14	5731	22	5731
13	5813	17	5813
9	1369	8	1369
14	7195	20	7195
14	7509	19	7509
15	9140	21	9140
11	2555	14	2555
13	7962	25	7962
13	2757	15	2757
12	3708	15	3708
14	7449	16	7449
13	8223	17	8223
14	6329	18	6329
12	8068	16	8068
12	701	11	701
12	2156	11	2156
13	6298	18	6298
12	2211	18	2211
14	9384	13	9384
11	5411	18	5411
12	2137	17	2137
13	5401	20	5401
11	1304	18	1304
9	1853	13	1853
14	6085	12	6085
8	308	13	308
12	6216	15	6216
12	345	7	345
12	6591	17	6591
12	1946	14	1946
14	2510	22	2510
12	7959	18	7959
15	6370	16	6370
12	7098	20	7098
13	8047	15	8047
14	4331	18	4331
15	8680	24	8680
10	803	9	803
12	8038	20	8038
14	5377	22	5377
9	719	13	719
11	4195	12	4195
13	6077	9	6077
14	9226	14	9226
13	492	19	492
13	4639	19	4639
13	8609	18	8609
14	2255	16	2255
11	6776	16	6776
12	362	7	362
12	5741	15	5741
11	4431	18	4431
10	2214	11	2214
13	1825	13	1825
14	8429	18	8429
14	8522	16	8522
12	4032	20	4032
14	6727	14	6727
13	1031	11	1031
12	8342	20	8342
12	2218	11	2218
13	7400	12	7400
14	1791	13	1791
10	264	12	264
13	8083	20	8083
12	470	11	470
14	7418	16	7418
13	6120	13	6120
13	6598	17	6598
12	2795	21	2795
14	6838	17	6838
12	792	9	792
13	5223	16	5223
13	6063	13	6063
14	7636	20	7636
14	9862	23	9862
13	1024	12	1024
13	9890	20	9890
15	2989	16	2989
8	1385	18	1385
12	5630	15	5630
13	3771	13	3771
14	9950	20	9950
10	3807	21	3807
11	4860	8	4860
13	4730	24	4730
14	2328	16	2328
12	8892	16	8892
12	1456	15	1456
13	7233	20	7233
10	26	5	26
14	9024	22	9024
14	6641	17	6641
14	5191	18	5191
11	5845	20	5845
13	4059	12	4059
12	7663	24	7663
13	2442	17	2442
13	3205	16	3205
11	852	8	852
14	9586	24	9586
14	8427	26	8427
11	3267	13	3267
12	3573	24	3573
14	8288	16	8288
14	4290	24	4290
11	3462	21	3462
12	1276	19	1276
13	5674	23	5674
12	5443	26	5443
12	5046	15	5046
13	1975	12	1975
14	5601	20	5601
14	6258	17	6258
12	6704	15	6704
11	1501	16	1501
14	4512	15	4512
14	3989	12	3989
13	8733	25	8733
11	4537	19	4537
12	7450	16	7450
14	4108	12	4108
14	7529	16	7529
12	8992	21	8992
12	6305	23	6305
12	1587	17	1587
14	6654	18	6654
13	8746	21	8746
11	1143	12	1143
12	7506	17	7506
14	4683	20	4683
13	9570	26	9570
9	772	14	772
13	8255	16	8255
12	7857	14	7857
14	1413	19	1413
13	5485	10	5485
12	3438	12	3438
13	9863	22	9863
14	6882	17	6882
13	5412	23	5412
13	5463	16	5463
14	9491	17	9491
10	2115	14	2115
14	9743	22	9743
11	991	12	991
13	6626	17	6626
13	3731	21	3731
13	6076	16	6076
12	7514	19	7514
14	1180	14	1180
13	6535	23	6535
12	5043	11	5043
13	172	9	172
12	2839	14	2839
14	2981	13	2981
13	3177	12	3177
12	1585	13	1585
12	4124	16	4124
11	682	14	682
12	2619	12	2619
15	3693	12	3693
13	7805	17	7805
14	874	23	874
15	7901	25	7901
13	9217	16	9217
12	5293	14	5293
14	9737	16	9737
14	2654	18	2654
13	5155	17	5155
14	2971	15	2971
14	8065	13	8065
12	618	21	618
12	2461	20	2461
12	6532	23	6532
12	6712	16	6712
13	3452	16	3452
11	9509	13	9509
12	442	11	442
13	9527	20	9527
11	7023	10	7023
12	7974	14	7974
14	6061	25	6061
12	4497	19	4497
12	8900	20	8900
8	1397	17	1397
15	7673	18	7673
13	6836	15	6836
13	5520	17	5520
14	4707	16	4707
15	9454	17	9454
13	5564	15	5564
13	8863	15	8863
13	6679	11	6679
13	3465	14	3465
14	8080	16	8080
11	1972	8	1972
11	3201	17	3201
13	7085	20	7085
12	3478	21	3478
13	6171	16	6171
9	1502	18	1502
13	4095	20	4095
13	4984	18	4984
13	4385	19	4385
13	7158	25	7158
12	8435	12	8435
13	3893	14	3893
14	3952	21	3952
11	4313	14	4313
11	915	10	915
14	373	14	373
13	9331	19	9331
14	6421	14	6421
13	5624	18	5624
12	728	16	728
9	445	6	445
14	8811	21	8811
13	1503	10	1503
11	4617	14	4617
14	8163	21	8163
8	366	10	366
14	7647	16	7647
13	1627	11	1627
13	4797	12	4797
15	9618	16	9618
13	1179	18	1179
10	1881	14	1881
13	3096	13	3096
10	3702	20	3702
14	9734	26	9734
11	3542	23	3542
14	8685	18	8685
9	4118	12	4118
9	700	12	700
11	3471	19	3471
13	4363	17	4363
11	4651	12	4651
13	7783	16	7783
13	5277	22	5277
10	2927	17	2927
12	4507	19	4507
13	960	13	960
13	5699	19	5699
8	131	11	131
8	1687	19	1687
12	6143	12	6143
14	4285	26	4285
12	9909	15	9909
14	8799	17	8799
15	7556	20	7556
14	9159	22	9159
13	3525	14	3525
14	7956	24	7956
13	7391	15	7391
12	2972	9	2972
14	8009	13	8009
13	3477	22	3477
14	6514	14	6514
10	3045	16	3045
14	7594	16	7594
12	3565	14	3565
12	6515	18	6515
14	8308	17	8308
12	4567	15	4567
12	4297	14	4297
14	9937	16	9937
12	3845	18	3845
14	8803	16	8803
12	896	9	896
14	9543	25	9543
10	5285	15	5285
14	8934	17	8934
12	2037	12	2037
7	578	16	578
11	6034	19	6034
13	8369	14	8369
12	396	8	396
10	745	9	745
14	5145	18	5145
14	5906	25	5906
11	4270	18	4270
10	3100	13	3100
12	3297	18	3297
15	7241	25	7241
13	7460	10	7460
12	6773	16	6773
8	106	8	106
11	504	15	504
8	718	11	718
9	22	5	22
11	7018	13	7018
14	9026	22	9026
13	940	9	940
14	7666	22	7666
15	8962	18	8962
14	4784	26	4784
11	2821	17	2821
13	6209	22	6209
9	678	13	678
14	8105	16	8105
14	5142	15	5142
15	9067	15	9067
13	5034	22	5034
15	4711	20	4711
12	5100	20	5100
14	8224	26	8224
15	9431	18	9431
12	1848	14	1848
14	8968	27	8968
11	4576	12	4576
13	7753	17	7753
11	3237	26	3237
12	4027	11	4027
12	7401	14	7401
14	6830	15	6830
13	1487	13	1487
13	4173	16	4173
13	3287	22	3287
13	1990	20	1990
13	1243	13	1243
14	9661	27	9661
13	5360	22	5360
8	268	9	268
7	600	9	600
13	9377	15	9377
14	5581	24	5581
14	1736	12	1736
14	2197	18	2197
12	1789	10	1789
13	2413	18	2413
12	3282	19	3282
11	1479	9	1479
11	8039	14	8039
14	7992	19	7992
13	2931	17	2931
11	6262	21	6262
14	7423	11	7423
14	1130	17	1130
14	5230	12	5230
14	8350	14	8350
13	8882	17	8882
12	4818	20	4818
12	2376	21	2376
13	2635	17	2635
13	7999	25	7999
12	3862	11	3862
13	6807	20	6807
15	7638	22	7638
13	2204	23	2204
11	4401	11	4401
12	3915	17	3915
13	4668	19	4668
11	4249	17	4249
13	3291	16	3291
13	6600	13	6600
14	5984	17	5984
11	1840	14	1840
13	4740	20	4740
14	4749	11	4749
14	4845	22	4845
14	8021	27	8021
13	2579	15	2579
13	2365	19	2365
11	1861	21	1861
14	5497	23	5497
13	6139	19	6139
12	2990	14	2990
13	7078	20	7078
15	4488	18	4488
14	1872	17	1872
11	1895	15	1895
12	3215	11	3215
13	4506	11	4506
12	6246	19	6246
15	7077	19	7077
12	7664	12	7664
10	3883	15	3883
12	5632	17	5632
13	7532	20	7532
12	5898	18	5898
12	3084	22	3084
12	1780	16	1780
14	9188	18	9188
14	6036	14	6036
14	4116	24	4116
15	7379	21	7379
10	775	16	775
13	5216	11	5216
14	2223	17	2223
14	8796	23	8796
12	4146	20	4146
11	1458	14	1458
12	7512	21	7512
12	6007	13	6007
12	6954	9	6954
13	3650	15	3650
14	8996	18	8996
12	4489	18	4489
15	7219	25	7219
13	2277	16	2277
11	7703	20	7703
12	8076	20	8076
11	4779	8	4779
13	5740	16	5740
12	8756	12	8756
14	6762	14	6762
12	4156	11	4156
13	6287	15	6287
11	2659	18	2659
14	3591	9	3591
11	4419	16	4419
12	8199	12	8199
14	9626	22	9626
11	4886	22	4886
9	1929	11	1929
14	6753	10	6753
5	101	11	101
14	4152	18	4152
13	1900	18	1900
11	4246	18	4246
14	5609	19	5609
15	9411	17	9411
14	6604	18	6604
11	2562	19	2562
10	3060	10	3060
14	5600	13	5600
14	2944	13	2944
12	7548	21	7548
13	2818	12	2818
13	5220	19	5220
13	5250	13	5250
11	894	19	894
10	3742	12	3742
12	6381	25	6381
12	2985	15	2985
12	2497	16	2497
14	9494	18	9494
11	7140	14	7140
10	5136	18	5136
13	8505	17	8505
12	7082	21	7082
15	9554	23	9554
14	3055	24	3055
12	4439	18	4439
14	4983	11	4983
16	9812	19	9812
11	891	15	891
12	9134	15	9134
11	1711	10	1711
12	1488	12	1488
13	1094	13	1094
10	1121	11	1121
13	8092	17	8092
15	3655	16	3655
8	532	14	532
6	43	6	43
12	2950	17	2950
14	2860	19	2860
13	8170	16	8170
14	6032	15	6032
7	105	7	105
12	1911	14	1911
12	8764	20	8764
12	3089	16	3089
